"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000101782",1169.9462175939,0.321379169291803,0.062774896966759,5.11954913222689,3.06266974106306e-07,1.02414337573905e-06,"RIOK3","8780","RIO kinase 3"
"ENSG00000249459",61.8720827634714,1.27702537924211,0.249516955541566,5.11799038454271,3.08808342234894e-07,1.03240658794506e-06,NA,NA,NA
"ENSG00000150681",15.7264239200752,3.02178291957628,0.590888123288136,5.11396794161449,3.15460918509632e-07,1.0544074841653e-06,"RGS18","64407","regulator of G protein signaling 18"
"ENSG00000074047",668.267804456578,-0.407283614661754,0.0796581553955994,-5.11289286877278,3.17262245447428e-07,1.06018707589234e-06,"GLI2","2736","GLI family zinc finger 2"
"ENSG00000278259",417.170600321219,-0.465799999786775,0.0911098082884386,-5.1125121272578,3.17902570951449e-07,1.06208523249415e-06,"MYO19","80179","myosin XIX"
"ENSG00000148180",4889.86756414791,-0.214068325345701,0.0418806552900138,-5.11138910944271,3.19798521844505e-07,1.06817650884397e-06,"GSN","2934","gelsolin"
"ENSG00000206530",65.0291341974168,1.2367754654427,0.241987863225307,5.11089874078179,3.20629813599995e-07,1.07070969806409e-06,"CFAP44","55779","cilia and flagella associated protein 44"
"ENSG00000102879",53.3306862020984,-1.33437378045477,0.261094099919563,-5.11070062811018,3.20966253138882e-07,1.07158960422959e-06,"CORO1A","11151","coronin 1A"
"ENSG00000161981",394.533925221562,-0.500367494387862,0.0979118791078605,-5.11038598122148,3.21501294415411e-07,1.0731320188508e-06,"SNRNP25","79622","small nuclear ribonucleoprotein U11/U12 subunit 25"
"ENSG00000197548",434.408671732499,-0.479642582234448,0.0938915172833534,-5.10847620863282,3.24767288342798e-07,1.08378724801356e-06,"ATG7","10533","autophagy related 7"
"ENSG00000211460",1088.63242277568,-0.319504549359929,0.0625579881322344,-5.10733415346675,3.26735651506855e-07,1.09010827177736e-06,"TSN","7247","translin"
"ENSG00000083937",465.828729382211,-0.458557181280249,0.0898046850799991,-5.10616100787794,3.28769589670306e-07,1.09664515718819e-06,"CHMP2B","25978","charged multivesicular body protein 2B"
"ENSG00000135622",220.266524138659,-0.654889179520869,0.128299386272062,-5.10438279207478,3.31875890035909e-07,1.10675523828093e-06,"SEMA4F","10505","ssemaphorin 4F"
"ENSG00000121417",152.52182654718,0.788576919967009,0.154498327264184,5.10411299546683,3.32349656435342e-07,1.10808362529169e-06,"ZNF211","10520","zinc finger protein 211"
"ENSG00000171649",166.89503867998,0.730581486917863,0.143177250833095,5.10263664560454,3.34953729890425e-07,1.11651243296808e-06,"ZIK1","284307","zinc finger protein interacting with K protein 1"
"ENSG00000099814",1677.93144658794,0.28485785052695,0.0558469154400369,5.10069084894766,3.38415943457399e-07,1.12779723443494e-06,"CEP170B","283638","centrosomal protein 170B"
"ENSG00000155115",823.966584741448,0.391109150718356,0.076681446568641,5.10044043533082,3.3886401295721e-07,1.12903432758934e-06,"GTF3C6","112495","general transcription factor IIIC subunit 6"
"ENSG00000168259",994.307086243284,-0.323808199878049,0.0635273150023288,-5.09714915333945,3.4480665285976e-07,1.14857363503625e-06,"DNAJC7","7266","DnaJ heat shock protein family (Hsp40) member C7"
"ENSG00000117620",369.413873480079,-0.579473073383466,0.113688719492916,-5.09701469035876,3.45051561707137e-07,1.14912886907228e-06,"SLC35A3","23443","solute carrier family 35 member A3"
"ENSG00000129173",24.145160242982,-2.11266768259503,0.41506735301577,-5.08993942126487,3.58177922076476e-07,1.19257336248945e-06,"E2F8","79733","E2F transcription factor 8"
"ENSG00000105290",318.746164028591,0.528144487616394,0.103796070166331,5.0882898241721,3.61306908978673e-07,1.20271889709873e-06,"APLP1","333","amyloid beta precursor like protein 1"
"ENSG00000173641",36.4061210182215,-1.62638878152995,0.319779772444097,-5.08596516002046,3.65761197409939e-07,1.21727050066878e-06,"HSPB7","27129","heat shock protein family B (small) member 7"
"ENSG00000198899",51090.6825670106,0.194020339313756,0.0381535546598545,5.08524935732674,3.67143386340346e-07,1.22159373620378e-06,"MT-ATP6","4508","ATP synthase F0 subunit 6"
"ENSG00000125354",344.505206882135,-0.519079492192832,0.102099445472223,-5.08405789857154,3.69455235759055e-07,1.22900756641769e-06,"SEPTIN6","23157","septin 6"
"ENSG00000164983",584.453773258059,0.416489114743545,0.0819243415164103,5.08382621128688,3.69906419382253e-07,1.23022986206142e-06,"TMEM65","157378","transmembrane protein 65"
"ENSG00000006451",1502.48703336756,0.299359077002025,0.0588948841126598,5.08293855251301,3.71639956550483e-07,1.23571547345554e-06,"RALA","5898","RAS like proto-oncogene A"
"ENSG00000132970",611.309261699637,0.420539237990945,0.0827573093436663,5.0815963124728,3.74276160096909e-07,1.24419931926309e-06,"WASF3","10810","WASP family member 3"
"ENSG00000087510",14.0875372405696,4.72336463883796,0.930251146931804,5.07751552300341,3.82402273238531e-07,1.27092520223394e-06,"TFAP2C","7022","transcription factor AP-2 gamma"
"ENSG00000183431",1285.41046104848,-0.303158551308879,0.0597123075087818,-5.07698603448366,3.83469045983026e-07,1.27418237627022e-06,"SF3A3","10946","splicing factor 3a subunit 3"
"ENSG00000182489",25.8137008067768,2.06302628441159,0.406369736049801,5.0767222590581,3.84001551545625e-07,1.27566322754528e-06,"XKRX","402415","XK related X-linked"
"ENSG00000188522",729.373446515648,0.379042254738116,0.0746721035420638,5.07608915188249,3.85282571523508e-07,1.27962943153523e-06,"FAM83G","644815","family with sequence similarity 83 member G"
"ENSG00000180900",1364.56428268336,-0.295868544418947,0.0582908379309446,-5.07572982171665,3.8601146851966e-07,1.28176050464598e-06,"SCRIB","23513","scribble planar cell polarity protein"
"ENSG00000136819",864.553260330991,0.359538500142082,0.0708433002949655,5.07512352819668,3.87244345645181e-07,1.28556371469553e-06,"C9orf78","51759","chromosome 9 open reading frame 78"
"ENSG00000221869",403.31543730341,0.500156391155189,0.0985552149307082,5.07488509366894,3.87730234372628e-07,1.28688593378534e-06,"CEBPD","1052","CCAAT enhancer binding protein delta"
